ip,port,timeout,print_time,total,success,fail,packet_lose_ratio,delay_min,delay_max,delay_avg,delay_stdev
43.227.197.138,443,3s,2022-04-06 12:06:18,365,348,17,4.87%,263.48ms,1823.40ms,600.50ms,483.88ms

Fail:
time,seq,reason
2022-04-06 12:00:26,13,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:00:39,26,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:00:45,32,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:01:04,51,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:01:36,83,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:01:41,88,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:02:11,118,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:02:37,144,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:02:53,160,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:03:35,202,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:03:40,207,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:04:19,246,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:05:24,311,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:05:25,312,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:05:40,327,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:05:58,345,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:06:02,349,dial tcp 43.227.197.138:443: i/o timeout

Success:
time,seq,delay
2022-04-06 12:00:14,1,1307.12ms
2022-04-06 12:00:15,2,277.45ms
2022-04-06 12:00:16,3,1289.00ms
2022-04-06 12:00:17,4,286.09ms
2022-04-06 12:00:18,5,263.48ms
2022-04-06 12:00:19,6,288.97ms
2022-04-06 12:00:20,7,1297.12ms
2022-04-06 12:00:21,8,275.26ms
2022-04-06 12:00:22,9,289.03ms
2022-04-06 12:00:23,10,294.98ms
2022-04-06 12:00:24,11,285.73ms
2022-04-06 12:00:25,12,299.41ms
2022-04-06 12:00:27,14,1321.80ms
2022-04-06 12:00:28,15,1306.85ms
2022-04-06 12:00:29,16,1299.79ms
2022-04-06 12:00:30,17,272.03ms
2022-04-06 12:00:31,18,287.44ms
2022-04-06 12:00:32,19,280.43ms
2022-04-06 12:00:33,20,280.99ms
2022-04-06 12:00:34,21,279.53ms
2022-04-06 12:00:35,22,1309.91ms
2022-04-06 12:00:36,23,284.74ms
2022-04-06 12:00:37,24,1277.81ms
2022-04-06 12:00:38,25,278.63ms
2022-04-06 12:00:40,27,288.77ms
2022-04-06 12:00:41,28,1597.21ms
2022-04-06 12:00:42,29,274.68ms
2022-04-06 12:00:43,30,298.08ms
2022-04-06 12:00:44,31,1285.70ms
2022-04-06 12:00:46,33,285.20ms
2022-04-06 12:00:47,34,1315.40ms
2022-04-06 12:00:48,35,295.57ms
2022-04-06 12:00:49,36,285.98ms
2022-04-06 12:00:50,37,278.58ms
2022-04-06 12:00:51,38,1316.48ms
2022-04-06 12:00:52,39,1309.06ms
2022-04-06 12:00:53,40,298.63ms
2022-04-06 12:00:54,41,287.35ms
2022-04-06 12:00:55,42,1289.46ms
2022-04-06 12:00:56,43,287.63ms
2022-04-06 12:00:57,44,292.03ms
2022-04-06 12:00:58,45,283.71ms
