ip,port,timeout,print_time,total,success,fail,packet_lose_ratio,delay_min,delay_max,delay_avg,delay_stdev
43.227.197.138,443,3s,2022-04-06 12:16:23,968,934,34,3.58%,261.46ms,1823.40ms,585.00ms,475.91ms

Fail:
time,seq,reason
2022-04-06 12:00:26,13,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:00:39,26,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:00:45,32,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:01:04,51,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:01:36,83,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:01:41,88,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:02:11,118,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:02:37,144,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:02:53,160,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:03:35,202,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:03:40,207,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:04:19,246,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:05:24,311,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:05:25,312,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:05:40,327,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:05:58,345,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:06:02,349,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:06:54,401,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:07:56,463,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:08:59,526,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:09:25,552,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:09:27,554,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:09:32,559,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:10:32,619,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:10:54,641,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:10:56,643,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:11:15,662,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:11:34,681,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:11:57,704,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:12:44,751,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:13:14,781,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:15:25,912,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:15:52,939,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:16:03,950,dial tcp 43.227.197.138:443: i/o timeout

Success:
time,seq,delay
2022-04-06 12:00:14,1,1307.12ms
2022-04-06 12:00:15,2,277.45ms
2022-04-06 12:00:16,3,1289.00ms
2022-04-06 12:00:17,4,286.09ms
2022-04-06 12:00:18,5,263.48ms
2022-04-06 12:00:19,6,288.97ms
2022-04-06 12:00:20,7,1297.12ms
2022-04-06 12:00:21,8,275.26ms
2022-04-06 12:00:22,9,289.03ms
2022-04-06 12:00:23,10,294.98ms
2022-04-06 12:00:24,11,285.73ms
2022-04-06 12:00:25,12,299.41ms
