ip,port,timeout,print_time,total,success,fail,packet_lose_ratio,delay_min,delay_max,delay_avg,delay_stdev
43.227.197.138,443,3s,2022-04-06 12:33:32,1997,1910,87,4.45%,260.36ms,1823.40ms,604.88ms,488.21ms

Fail:
time,seq,reason
2022-04-06 12:00:26,13,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:00:39,26,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:00:45,32,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:01:04,51,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:01:36,83,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:01:41,88,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:02:11,118,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:02:37,144,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:02:53,160,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:03:35,202,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:03:40,207,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:04:19,246,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:05:24,311,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:05:25,312,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:05:40,327,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:05:58,345,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:06:02,349,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:06:54,401,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:07:56,463,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:08:59,526,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:09:25,552,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:09:27,554,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:09:32,559,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:10:32,619,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:10:54,641,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:10:56,643,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:11:15,662,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:11:34,681,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:11:57,704,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:12:44,751,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:13:14,781,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:15:25,912,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:15:52,939,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:16:03,950,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:16:30,977,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:16:46,993,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:16:52,999,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:16:58,1005,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:17:12,1019,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:17:27,1034,dial tcp 43.227.197.138:443: i/o timeout
2022-04-06 12:17:28,1035,dial tcp 43.227.197.138:443: i/o timeout
